epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,720.355,0.78681,0.47318,0.8413,0.83449,0.75686,0.81085,0.55861,0.94428,0.54645,0.84689,0.00900844,0.00900844,0.00900844
43,736.764,0.78441,0.47058,0.83938,0.82728,0.764,0.81776,0.57421,0.90547,0.54105,0.84243,0.00896127,0.00896127,0.00896127
44,753.364,0.77994,0.47069,0.84079,0.8333,0.74908,0.81652,0.5727,0.91246,0.53974,0.8436,0.00891313,0.00891313,0.00891313
45,769.785,0.77989,0.46885,0.83924,0.81806,0.72968,0.80099,0.54341,0.97377,0.55288,0.85305,0.00886404,0.00886404,0.00886404
46,786.211,0.7774,0.46689,0.8388,0.80846,0.73027,0.78984,0.52946,1.0026,0.59006,0.85467,0.00881401,0.00881401,0.00881401
47,802.81,0.77521,0.46394,0.83828,0.82096,0.73706,0.80376,0.55706,0.94379,0.56351,0.84607,0.00876305,0.00876305,0.00876305
48,819.177,0.77291,0.46299,0.83948,0.81632,0.74865,0.808,0.54981,0.9723,0.55328,0.84862,0.00871117,0.00871117,0.00871117
49,835.553,0.77154,0.46247,0.83758,0.82361,0.76015,0.8144,0.56271,0.94912,0.54901,0.84746,0.00865839,0.00865839,0.00865839
50,852.157,0.77513,0.46113,0.83828,0.80907,0.7673,0.81286,0.56123,0.94991,0.54971,0.84752,0.00860473,0.00860473,0.00860473
51,868.596,0.7671,0.45972,0.83627,0.8102,0.74347,0.80339,0.55244,0.95882,0.5639,0.84874,0.00855018,0.00855018,0.00855018
52,885.127,0.76645,0.45735,0.83605,0.83033,0.73574,0.80744,0.55092,0.97339,0.55674,0.85145,0.00849477,0.00849477,0.00849477
53,901.61,0.76382,0.45428,0.83558,0.84028,0.76524,0.83141,0.57464,0.93047,0.53956,0.84638,0.00843851,0.00843851,0.00843851
54,918.08,0.76853,0.45726,0.83708,0.83323,0.76138,0.82112,0.57163,0.91372,0.53155,0.84373,0.00838141,0.00838141,0.00838141
55,934.446,0.75872,0.45073,0.83515,0.81146,0.74529,0.80298,0.56049,0.94205,0.57082,0.84633,0.00832349,0.00832349,0.00832349
56,950.871,0.76545,0.45497,0.83671,0.82971,0.75351,0.81287,0.56785,0.93769,0.54883,0.84484,0.00826477,0.00826477,0.00826477
57,967.261,0.7627,0.45294,0.8349,0.83648,0.75201,0.81424,0.56373,0.95451,0.54037,0.84671,0.00820525,0.00820525,0.00820525
58,983.639,0.75715,0.44629,0.83456,0.84243,0.74578,0.81739,0.56733,0.94284,0.54483,0.84466,0.00814495,0.00814495,0.00814495
59,1000.26,0.75695,0.45032,0.83442,0.83615,0.7403,0.81225,0.56164,0.95141,0.55184,0.84454,0.00808389,0.00808389,0.00808389
60,1016.64,0.76198,0.45053,0.83569,0.83064,0.76244,0.81736,0.5649,0.93983,0.5477,0.84453,0.00802208,0.00802208,0.00802208
61,1033,0.75306,0.4448,0.83248,0.83636,0.76225,0.82479,0.57616,0.9203,0.53135,0.84186,0.00795954,0.00795954,0.00795954
62,1049.69,0.75352,0.44342,0.83507,0.82123,0.77332,0.82782,0.57892,0.9159,0.52898,0.84281,0.00789628,0.00789628,0.00789628
63,1066.08,0.7504,0.44385,0.83417,0.83166,0.75532,0.81734,0.57264,0.91587,0.54046,0.84282,0.00783231,0.00783231,0.00783231
64,1082.41,0.75288,0.44513,0.83358,0.84113,0.75649,0.82555,0.57749,0.91813,0.53006,0.8416,0.00776766,0.00776766,0.00776766
65,1099.05,0.74794,0.44261,0.8322,0.82897,0.77029,0.82836,0.58027,0.91888,0.52161,0.84126,0.00770234,0.00770234,0.00770234
66,1115.48,0.74501,0.43865,0.83322,0.83584,0.75343,0.81693,0.56591,0.93432,0.54158,0.84456,0.00763637,0.00763637,0.00763637
67,1131.67,0.74551,0.44117,0.83413,0.83981,0.76931,0.82951,0.58429,0.91085,0.52462,0.84073,0.00756976,0.00756976,0.00756976
68,1148.12,0.74609,0.44083,0.83185,0.83861,0.76064,0.82413,0.57418,0.92418,0.5348,0.84197,0.00750252,0.00750252,0.00750252
69,1164.46,0.74366,0.43886,0.83102,0.83528,0.76763,0.82402,0.57821,0.92336,0.52465,0.84331,0.00743468,0.00743468,0.00743468
70,1180.75,0.74752,0.43813,0.83251,0.82998,0.74258,0.80921,0.55505,0.96654,0.55566,0.84839,0.00736625,0.00736625,0.00736625
71,1197.17,0.7399,0.43372,0.82992,0.80781,0.77035,0.81376,0.56686,0.94012,0.53969,0.84432,0.00729725,0.00729725,0.00729725
72,1213.55,0.73955,0.43344,0.83042,0.81435,0.76082,0.81543,0.56346,0.94516,0.54717,0.84657,0.0072277,0.0072277,0.0072277
73,1230.01,0.73478,0.43236,0.83105,0.801,0.76725,0.81016,0.55671,0.95971,0.55317,0.84768,0.00715761,0.00715761,0.00715761
74,1246.3,0.73318,0.43107,0.82985,0.80681,0.75782,0.80671,0.55831,0.9426,0.54462,0.84486,0.007087,0.007087,0.007087
75,1262.55,0.73863,0.43221,0.83192,0.8304,0.76196,0.81813,0.5673,0.93913,0.53217,0.84501,0.00701588,0.00701588,0.00701588
76,1279.02,0.73226,0.42798,0.83108,0.83215,0.76511,0.82593,0.5792,0.9191,0.52774,0.84133,0.00694428,0.00694428,0.00694428
77,1295.35,0.73614,0.42916,0.8302,0.82526,0.7558,0.8115,0.56118,0.95733,0.54494,0.84736,0.00687222,0.00687222,0.00687222
78,1311.67,0.73617,0.43016,0.83149,0.82903,0.76418,0.82145,0.56639,0.94896,0.53841,0.84526,0.0067997,0.0067997,0.0067997
79,1327.95,0.73267,0.42781,0.82902,0.81772,0.76859,0.81599,0.56084,0.96475,0.54069,0.84785,0.00672675,0.00672675,0.00672675
80,1344.45,0.73123,0.42635,0.8275,0.81797,0.76698,0.82052,0.57004,0.94302,0.53434,0.84459,0.00665339,0.00665339,0.00665339
81,1360.81,0.73295,0.42699,0.82862,0.81597,0.75896,0.81773,0.56646,0.94826,0.54135,0.8468,0.00657963,0.00657963,0.00657963
82,1377.13,0.7291,0.42223,0.83043,0.8175,0.76255,0.81644,0.56371,0.95562,0.5421,0.84643,0.0065055,0.0065055,0.0065055
83,1393.67,0.72476,0.41935,0.82842,0.81182,0.75931,0.81275,0.55903,0.96275,0.54761,0.84773,0.00643101,0.00643101,0.00643101
84,1409.98,0.72395,0.42149,0.82892,0.83797,0.75226,0.8202,0.57256,0.94048,0.53575,0.84495,0.00635617,0.00635617,0.00635617
85,1426.3,0.72684,0.42421,0.82781,0.80362,0.7777,0.81193,0.55593,0.96103,0.55101,0.84753,0.00628101,0.00628101,0.00628101
86,1442.81,0.72301,0.41939,0.82819,0.79884,0.76417,0.80695,0.55519,0.97177,0.55389,0.84978,0.00620555,0.00620555,0.00620555
