epoch,train_loss,val_loss,mAP_0.5,mAP_0.75,mAP_0.5_0.95,learning_rate,router_loss,expert_0_usage,expert_1_usage
1,31.1440170143224,2.817116118967533,0.0,0.0,0.0,2.008e-05,1.0018748044967651,0.5123276852613486,0.4876723147386513
2,23.519334937952742,2.4949648678302765,0.0,0.0,0.0,4.0060000000000006e-05,1.0002043005786365,0.4987349159200728,0.5012650840799272
3,20.51125318792802,2.407954476773739,0.0,0.0,0.0,6.004000000000001e-05,1.0003021706508686,0.49989428005313474,0.5001057199468653
4,17.960826632342762,2.1254865527153015,0.0,0.0,0.0,8.002000000000001e-05,1.0002427584008327,0.5001070828085743,0.4998929171914257
5,16.260501873644092,1.8906627036631107,0.0,0.0,0.0,0.00010000000000000002,1.0002558201174192,0.5026046074883663,0.4973953925116337
6,15.013914989519723,1.8188255429267883,0.0,0.0,0.0,9.999389330784221e-05,1.0001357801352875,0.4993315134200628,0.5006684865799371
7,14.456046744237971,1.744849320501089,0.0,0.0,0.0,9.997557473810373e-05,1.0001396823532973,0.5003698011487474,0.4996301988512526
8,13.921775516075424,1.7021744959056377,0.0,0.0,0.0,9.994504881061754e-05,1.0001136170157903,0.5003727646071157,0.49962723539288434
9,13.57170453856263,1.6295299641788006,0.0,0.0,0.0,9.990232305719946e-05,1.000128936918476,0.49965053154311867,0.5003494684568813
10,13.586136914506744,1.6234068870544434,0.0,0.0,0.0,9.984740801978985e-05,1.0000938516628892,0.4997231415274906,0.5002768584725094
11,13.229584742195998,1.6123822219669819,0.0,0.0,0.0,9.978031724785247e-05,1.0001244401629967,0.49967288925377057,0.5003271107462294
12,13.010629605643357,1.645121082663536,0.0,0.0,0.0,9.970106729503142e-05,1.000118059448049,0.5011948684886649,0.4988051315113351
13,13.109319686889648,1.5452839247882366,0.0,0.0,0.0,9.960967771506667e-05,1.000095295755169,0.49908218521297953,0.5009178147870205
14,12.671720456473436,1.4736105874180794,0.0,0.0,0.0,9.95061710569696e-05,1.0001658140858518,0.49942585118062605,0.500574148819374
15,12.320268136036548,1.4705007411539555,0.0,0.0,0.0,9.939057285945933e-05,1.0001488622230819,0.5007902830209824,0.49920971697901756
16,12.091512812843806,1.3986999318003654,0.0,0.0,0.0,9.926291164466132e-05,1.0000653048104877,0.49964620456563824,0.5003537954343618
17,11.960571566714517,1.380249634385109,0.0,0.0,0.0,9.91232189110701e-05,1.000214838528935,0.4998322473908692,0.5001677526091308
18,11.823589421525787,1.3705920204520226,0.0,0.0,0.0,9.897152912577741e-05,1.0000574030453646,0.5003866110935651,0.4996133889064349
19,11.874190487439119,1.389175720512867,0.0,0.0,0.0,9.8807879715968e-05,1.0000719269619713,0.5000601965326797,0.4999398034673203
20,11.83938852141175,1.3978706821799278,0.0,0.0,0.0,9.8632311059685e-05,1.0000477825539023,0.5002249006123048,0.4997750993876951
21,11.625660015057914,1.3627214543521404,0.0,0.0,0.0,9.844486647586725e-05,1.0000600950627387,0.5001135978866401,0.4998864021133599
22,11.565870067741297,1.3487048484385014,0.0,0.0,0.0,9.824559221366102e-05,1.0000373638128932,0.4993740451197846,0.5006259548802153
23,11.483905768092674,1.355984665453434,0.0,0.0,0.0,9.80345374410087e-05,1.0000891504408438,0.5002266638613082,0.4997733361386918
24,11.416656216488608,1.3265221752226353,0.0,0.0,0.0,9.781175423251736e-05,1.0000382118587252,0.49972214504028895,0.500277854959711
25,11.358365964285936,1.30150056630373,0.0,0.0,0.0,9.757729755661012e-05,1.0001050799707822,0.5000320546724494,0.4999679453275507
26,11.317680733113349,1.3214877769351006,0.0,0.0,0.0,9.733122526196351e-05,1.0000665670708766,0.49992897840943645,0.5000710215905635
27,11.389661716509469,1.3503174483776093,0.0,0.0,0.0,9.707359806323417e-05,1.0000655296482617,0.5000363861441564,0.4999636138558437
28,11.81645174871517,1.4657188057899475,0.0,0.0,0.0,9.680447952607845e-05,1.000147590154334,0.49950228054733137,0.5004977194526686
29,11.406301703634142,1.349737860262394,0.0,0.0,0.0,9.652393605146844e-05,1.0002598234369784,0.5007023300456953,0.4992976699543047
30,10.358106214788895,1.1570912338793278,0.0,0.0,0.0,9.623203685930869e-05,1.0001666704310646,0.49978974011479593,0.5002102598852041
31,9.48063290270069,1.063504884019494,0.5963209317668968,0.4714610399001778,0.41445184652032646,9.592885397135706e-05,1.0003603425207017,0.4994237103399411,0.500576289660059
