epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6747.92,1.72945,0.84193,1.74775,0.85955,0.85054,0.90431,0.70924,1.82685,0.89192,1.78756,0.00900844,0.00900844,0.00900844
43,6908.66,1.72808,0.83851,1.74278,0.88394,0.85731,0.9115,0.71517,1.84175,0.90481,1.78931,0.00896127,0.00896127,0.00896127
44,7069.23,1.72464,0.83522,1.74458,0.88695,0.85178,0.91044,0.71454,1.8364,0.89928,1.79405,0.00891313,0.00891313,0.00891313
45,7229.76,1.72702,0.83436,1.74371,0.87791,0.86232,0.91279,0.71897,1.8445,0.90381,1.79079,0.00886404,0.00886404,0.00886404
46,7416.17,1.71943,0.83117,1.74346,0.88171,0.86385,0.91408,0.71776,1.82515,0.89146,1.78911,0.00881401,0.00881401,0.00881401
47,7635.1,1.71935,0.83161,1.74338,0.87336,0.86648,0.91401,0.72129,1.83835,0.89513,1.79213,0.00876305,0.00876305,0.00876305
48,7806.22,1.71622,0.82831,1.74095,0.87135,0.86712,0.91312,0.72034,1.83993,0.89687,1.78842,0.00871117,0.00871117,0.00871117
49,7965.8,1.71341,0.82752,1.74172,0.88042,0.86448,0.91296,0.71951,1.83982,0.89287,1.79186,0.00865839,0.00865839,0.00865839
50,8125.79,1.7126,0.82547,1.73642,0.88639,0.86326,0.91435,0.72314,1.83267,0.8898,1.78862,0.00860473,0.00860473,0.00860473
51,8285.48,1.70621,0.82051,1.74112,0.8888,0.86258,0.91975,0.72814,1.82162,0.87384,1.78383,0.00855018,0.00855018,0.00855018
52,8445.04,1.70809,0.82014,1.74129,0.87372,0.86995,0.91395,0.72307,1.82711,0.88897,1.78926,0.00849477,0.00849477,0.00849477
53,8604.71,1.70487,0.81957,1.73705,0.88604,0.8617,0.91555,0.72176,1.83473,0.8927,1.79037,0.00843851,0.00843851,0.00843851
54,8764.48,1.70166,0.81926,1.73898,0.88701,0.86188,0.91516,0.72185,1.84335,0.89216,1.7952,0.00838141,0.00838141,0.00838141
55,8923.66,1.70359,0.81529,1.73685,0.88934,0.87053,0.91892,0.72787,1.81921,0.88252,1.78626,0.00832349,0.00832349,0.00832349
56,9083.6,1.69942,0.81093,1.73755,0.88718,0.86597,0.9175,0.72503,1.8299,0.88626,1.78837,0.00826477,0.00826477,0.00826477
57,9243.24,1.69695,0.8099,1.73466,0.88591,0.86547,0.91683,0.72645,1.82637,0.88281,1.78776,0.00820525,0.00820525,0.00820525
