epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4684.3,1.76326,0.86607,1.74638,0.88015,0.86272,0.91265,0.71554,1.84016,0.89933,1.78654,0.00900844,0.00900844,0.00900844
43,4795.29,1.7596,0.86088,1.74381,0.88968,0.85386,0.91602,0.72099,1.84346,0.90805,1.78686,0.00896127,0.00896127,0.00896127
44,4906.18,1.75633,0.86132,1.74428,0.875,0.86094,0.91589,0.71727,1.8555,0.9128,1.78642,0.00891313,0.00891313,0.00891313
45,5016.64,1.75759,0.85757,1.74166,0.87585,0.86673,0.91411,0.71916,1.83998,0.89526,1.78359,0.00886404,0.00886404,0.00886404
46,5127.22,1.7527,0.8559,1.74279,0.88201,0.85932,0.91265,0.71472,1.83795,0.90286,1.78712,0.00881401,0.00881401,0.00881401
47,5237.98,1.74901,0.85505,1.73845,0.88513,0.86253,0.91648,0.71958,1.84373,0.90041,1.78615,0.00876305,0.00876305,0.00876305
48,5348.78,1.74768,0.85156,1.74381,0.88328,0.86121,0.91563,0.71881,1.84136,0.89557,1.78548,0.00871117,0.00871117,0.00871117
49,5459.32,1.74413,0.84682,1.73992,0.87488,0.86197,0.91489,0.71946,1.85468,0.89306,1.78668,0.00865839,0.00865839,0.00865839
50,5569.99,1.74591,0.85034,1.73858,0.88684,0.86243,0.91764,0.72125,1.82855,0.88515,1.7825,0.00860473,0.00860473,0.00860473
51,5680.5,1.73919,0.8466,1.73893,0.87934,0.87017,0.91733,0.71923,1.84361,0.89763,1.787,0.00855018,0.00855018,0.00855018
52,5791.23,1.73845,0.84691,1.73883,0.88531,0.85816,0.91753,0.72162,1.83299,0.89754,1.78479,0.00849477,0.00849477,0.00849477
53,5902.2,1.73854,0.84465,1.73887,0.88847,0.86071,0.91667,0.71791,1.85955,0.90202,1.78962,0.00843851,0.00843851,0.00843851
54,6013.21,1.73144,0.83909,1.73648,0.88356,0.861,0.91378,0.71635,1.85684,0.90411,1.78705,0.00838141,0.00838141,0.00838141
55,6124,1.73793,0.84027,1.73571,0.88625,0.8633,0.91526,0.71925,1.8386,0.89711,1.78738,0.00832349,0.00832349,0.00832349
56,6234.64,1.72994,0.83869,1.73533,0.88159,0.8649,0.91521,0.72019,1.84036,0.89905,1.78625,0.00826477,0.00826477,0.00826477
57,6345.31,1.72856,0.8377,1.73579,0.87786,0.87387,0.91802,0.72202,1.83013,0.88584,1.78292,0.00820525,0.00820525,0.00820525
58,6456.16,1.72591,0.83401,1.73151,0.88513,0.87066,0.9213,0.72708,1.83001,0.87881,1.78219,0.00814495,0.00814495,0.00814495
59,6566.92,1.7252,0.83276,1.73228,0.88445,0.86747,0.9167,0.72313,1.83589,0.88154,1.78189,0.00808389,0.00808389,0.00808389
60,6677.68,1.72044,0.83254,1.73408,0.88983,0.86382,0.91883,0.72559,1.82804,0.8794,1.78112,0.00802208,0.00802208,0.00802208
61,6788.27,1.71866,0.82736,1.73431,0.88721,0.86633,0.9171,0.72282,1.8323,0.89041,1.78548,0.00795954,0.00795954,0.00795954
62,6898.95,1.71355,0.82512,1.73233,0.88299,0.87629,0.91778,0.72466,1.82556,0.88171,1.78274,0.00789628,0.00789628,0.00789628
63,7009.56,1.71362,0.82569,1.72948,0.88632,0.86679,0.91682,0.72451,1.82822,0.88433,1.77842,0.00783231,0.00783231,0.00783231
64,7120.31,1.70891,0.82414,1.72937,0.88948,0.86588,0.91913,0.72704,1.82949,0.88166,1.78134,0.00776766,0.00776766,0.00776766
65,7231.06,1.70585,0.82107,1.73073,0.8852,0.86099,0.91505,0.72307,1.82143,0.87647,1.781,0.00770234,0.00770234,0.00770234
66,7341.69,1.70491,0.81863,1.73021,0.88668,0.86658,0.91795,0.72524,1.83109,0.88533,1.78146,0.00763637,0.00763637,0.00763637
67,7452.29,1.70349,0.82023,1.7298,0.88712,0.86742,0.91702,0.72373,1.8453,0.89211,1.78405,0.00756976,0.00756976,0.00756976
68,7562.91,1.70209,0.81837,1.72737,0.88674,0.85689,0.9139,0.72211,1.83445,0.89207,1.78236,0.00750252,0.00750252,0.00750252
69,7673.58,1.69731,0.81338,1.72627,0.88586,0.87086,0.91626,0.72586,1.83396,0.89071,1.7808,0.00743468,0.00743468,0.00743468
70,7784.3,1.69446,0.81169,1.72918,0.88848,0.86255,0.91625,0.7221,1.84235,0.88944,1.78296,0.00736625,0.00736625,0.00736625
71,7895,1.69286,0.81086,1.72601,0.88083,0.87105,0.91551,0.72377,1.8333,0.88734,1.78172,0.00729725,0.00729725,0.00729725
72,8005.55,1.69062,0.81222,1.72635,0.88931,0.86062,0.91701,0.72468,1.83239,0.88358,1.78338,0.0072277,0.0072277,0.0072277
73,8116.2,1.6867,0.80792,1.72526,0.88306,0.86875,0.91621,0.72527,1.83329,0.88139,1.78196,0.00715761,0.00715761,0.00715761
74,8226.72,1.68334,0.80295,1.72474,0.89033,0.87017,0.91943,0.7245,1.84538,0.88513,1.78597,0.007087,0.007087,0.007087
75,8337.35,1.68211,0.80513,1.72219,0.88262,0.87001,0.91744,0.72402,1.84591,0.88675,1.78191,0.00701588,0.00701588,0.00701588
76,8448.03,1.67647,0.80425,1.72105,0.87337,0.87085,0.91645,0.72326,1.83894,0.88323,1.78274,0.00694428,0.00694428,0.00694428
77,8558.64,1.67789,0.79918,1.72569,0.88689,0.86862,0.91733,0.72458,1.84091,0.88531,1.78313,0.00687222,0.00687222,0.00687222
78,8669.23,1.67214,0.7985,1.72247,0.88886,0.8666,0.91537,0.72379,1.84349,0.89172,1.78203,0.0067997,0.0067997,0.0067997
