epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3009.78,1.81678,0.91569,1.73434,0.87873,0.82356,0.89254,0.6787,1.97708,0.97891,1.79492,0.00900844,0.00900844,0.00900844
43,3080.28,1.8151,0.91308,1.73136,0.85726,0.84079,0.89451,0.68376,1.95711,0.97001,1.7878,0.00896127,0.00896127,0.00896127
44,3150.84,1.81325,0.91229,1.73129,0.84208,0.80906,0.87999,0.66608,1.97769,0.99546,1.79761,0.00891313,0.00891313,0.00891313
45,3221.23,1.81168,0.91186,1.7329,0.86989,0.82125,0.89433,0.6843,1.9529,0.96795,1.78806,0.00886404,0.00886404,0.00886404
46,3291.49,1.80336,0.90632,1.73069,0.8604,0.83015,0.89025,0.67698,1.99745,0.99595,1.7964,0.00881401,0.00881401,0.00881401
47,3361.46,1.80083,0.90475,1.73204,0.85911,0.86248,0.90477,0.69601,1.93243,0.94531,1.78634,0.00876305,0.00876305,0.00876305
48,3431.83,1.79607,0.90277,1.73111,0.85382,0.84781,0.89549,0.68809,1.94072,0.95266,1.78849,0.00871117,0.00871117,0.00871117
49,3502.15,1.79189,0.9,1.72911,0.8596,0.83979,0.89388,0.68343,1.96325,0.96797,1.79251,0.00865839,0.00865839,0.00865839
50,3572.66,1.79112,0.89699,1.72806,0.875,0.84651,0.90174,0.69796,1.90957,0.94301,1.77845,0.00860473,0.00860473,0.00860473
51,3643.09,1.79108,0.89779,1.72742,0.87471,0.8343,0.89378,0.6887,1.92874,0.95739,1.78132,0.00855018,0.00855018,0.00855018
52,3713.48,1.78784,0.89446,1.72665,0.8654,0.841,0.89077,0.68829,1.91784,0.95845,1.7819,0.00849477,0.00849477,0.00849477
53,3783.74,1.78644,0.89212,1.72432,0.87115,0.85319,0.90101,0.69659,1.92327,0.94109,1.7794,0.00843851,0.00843851,0.00843851
54,3854.12,1.78418,0.89131,1.72682,0.85844,0.85608,0.89835,0.69073,1.93602,0.94488,1.78716,0.00838141,0.00838141,0.00838141
55,3924.64,1.78352,0.88693,1.72472,0.87348,0.84182,0.89532,0.68954,1.96169,0.95774,1.78639,0.00832349,0.00832349,0.00832349
56,3994.93,1.77997,0.88731,1.72314,0.86093,0.84496,0.89431,0.68277,1.97332,0.96623,1.79396,0.00826477,0.00826477,0.00826477
57,4065.22,1.77458,0.8837,1.72467,0.86949,0.84129,0.89756,0.69348,1.911,0.93989,1.78063,0.00820525,0.00820525,0.00820525
58,4135.42,1.77386,0.88202,1.72214,0.85211,0.85709,0.89705,0.6924,1.92874,0.95558,1.78008,0.00814495,0.00814495,0.00814495
59,4205.33,1.77239,0.88021,1.71871,0.85287,0.84471,0.89213,0.68315,1.98333,0.96963,1.79506,0.00808389,0.00808389,0.00808389
60,4275.85,1.76476,0.87985,1.7216,0.866,0.85018,0.89884,0.69432,1.9318,0.94984,1.78333,0.00802208,0.00802208,0.00802208
61,4343.51,1.76832,0.8815,1.72039,0.86849,0.84213,0.89919,0.69264,1.92148,0.94016,1.77862,0.00795954,0.00795954,0.00795954
62,4414.22,1.76107,0.8738,1.72037,0.87729,0.85077,0.90369,0.69953,1.92377,0.93825,1.7804,0.00789628,0.00789628,0.00789628
63,4484.78,1.76503,0.8753,1.71977,0.88144,0.83967,0.901,0.69597,1.92228,0.93505,1.77797,0.00783231,0.00783231,0.00783231
64,4555.07,1.75213,0.87003,1.71915,0.88041,0.8442,0.90289,0.70132,1.91192,0.93021,1.77537,0.00776766,0.00776766,0.00776766
65,4625.43,1.75553,0.86615,1.71937,0.87786,0.85157,0.90597,0.70086,1.93237,0.9305,1.77929,0.00770234,0.00770234,0.00770234
66,4695.79,1.75442,0.8657,1.71855,0.87159,0.85098,0.9023,0.69737,1.92797,0.93755,1.77729,0.00763637,0.00763637,0.00763637
67,4766.07,1.75032,0.86442,1.71858,0.87192,0.84383,0.89881,0.69007,1.96407,0.96119,1.78849,0.00756976,0.00756976,0.00756976
68,4836.31,1.75585,0.86545,1.71797,0.87471,0.84246,0.89875,0.69501,1.93542,0.93862,1.78106,0.00750252,0.00750252,0.00750252
69,4906.59,1.74546,0.86158,1.71738,0.8775,0.85202,0.90429,0.70194,1.92036,0.93138,1.77686,0.00743468,0.00743468,0.00743468
70,4977.08,1.74404,0.86031,1.71728,0.87692,0.84504,0.9044,0.70048,1.94529,0.9372,1.78256,0.00736625,0.00736625,0.00736625
71,5046.06,1.74058,0.85715,1.71714,0.88782,0.845,0.9063,0.70194,1.93348,0.93273,1.7799,0.00729725,0.00729725,0.00729725
72,5116.43,1.73583,0.85164,1.71564,0.87686,0.84671,0.90366,0.6979,1.9463,0.9471,1.78163,0.0072277,0.0072277,0.0072277
73,5186.84,1.73573,0.8537,1.71551,0.88089,0.85082,0.90676,0.70337,1.91416,0.92445,1.77529,0.00715761,0.00715761,0.00715761
74,5257.12,1.7345,0.85313,1.71349,0.87844,0.84856,0.90523,0.70347,1.91482,0.93166,1.778,0.007087,0.007087,0.007087
75,5327.1,1.73252,0.85026,1.71572,0.87724,0.84607,0.90116,0.6969,1.94174,0.94134,1.78416,0.00701588,0.00701588,0.00701588
76,5397.25,1.72822,0.84937,1.71783,0.87316,0.84515,0.90064,0.69587,1.93902,0.93428,1.78544,0.00694428,0.00694428,0.00694428
77,5467.56,1.72512,0.84393,1.71523,0.87952,0.84427,0.9034,0.70126,1.92231,0.92901,1.77779,0.00687222,0.00687222,0.00687222
78,5538,1.72485,0.84487,1.71146,0.86779,0.82122,0.89348,0.68819,1.95361,0.94853,1.78289,0.0067997,0.0067997,0.0067997
79,5608.27,1.72259,0.84158,1.71005,0.87903,0.84715,0.9013,0.70015,1.92487,0.92695,1.77892,0.00672675,0.00672675,0.00672675
80,5678.46,1.71803,0.84047,1.71075,0.8795,0.84605,0.90197,0.70139,1.92524,0.93413,1.78079,0.00665339,0.00665339,0.00665339
81,5748.78,1.7187,0.84025,1.71187,0.87395,0.8501,0.90403,0.70104,1.93951,0.93456,1.78266,0.00657963,0.00657963,0.00657963
82,5819.17,1.71265,0.83601,1.71076,0.87528,0.84663,0.90206,0.69727,1.96009,0.94287,1.78519,0.0065055,0.0065055,0.0065055
83,5889.65,1.71036,0.83401,1.70883,0.8739,0.84674,0.90132,0.69748,1.96073,0.95231,1.78791,0.00643101,0.00643101,0.00643101
84,5959.95,1.70473,0.83058,1.7072,0.86581,0.84521,0.89693,0.69388,1.95214,0.94909,1.78498,0.00635617,0.00635617,0.00635617
85,6030.2,1.69916,0.83066,1.70711,0.87949,0.848,0.9049,0.70305,1.92804,0.9341,1.77819,0.00628101,0.00628101,0.00628101
86,6100.51,1.69674,0.82647,1.70825,0.8731,0.84841,0.90061,0.69664,1.96177,0.94689,1.78884,0.00620555,0.00620555,0.00620555
87,6170.83,1.69708,0.82573,1.70686,0.88478,0.84271,0.90273,0.69811,1.95179,0.94456,1.78402,0.00612981,0.00612981,0.00612981
88,6241.07,1.69431,0.82535,1.70425,0.88467,0.84399,0.90362,0.69992,1.94209,0.93102,1.78161,0.0060538,0.0060538,0.0060538
89,6311.34,1.69342,0.82335,1.7009,0.87992,0.85208,0.90668,0.70472,1.93312,0.92888,1.7758,0.00597754,0.00597754,0.00597754
90,6381.6,1.6861,0.82021,1.70478,0.879,0.85397,0.90686,0.70278,1.93429,0.929,1.77997,0.00590105,0.00590105,0.00590105
91,6451.79,1.68569,0.81439,1.70562,0.87876,0.85214,0.90514,0.69997,1.95346,0.93297,1.78514,0.00582435,0.00582435,0.00582435
92,6522.03,1.68532,0.81616,1.70067,0.87778,0.85209,0.90393,0.70181,1.94365,0.93042,1.78036,0.00574746,0.00574746,0.00574746
93,6592.51,1.6784,0.81362,1.7015,0.87926,0.85266,0.9056,0.70283,1.94584,0.93024,1.78229,0.0056704,0.0056704,0.0056704
94,6662.94,1.67972,0.81272,1.70046,0.88249,0.8499,0.9047,0.70312,1.93246,0.92737,1.77911,0.00559318,0.00559318,0.00559318
95,6732.95,1.67661,0.81064,1.69873,0.88045,0.85292,0.90645,0.70444,1.92868,0.92186,1.77802,0.00551584,0.00551584,0.00551584
96,6803.6,1.67329,0.80944,1.69844,0.87923,0.85139,0.90521,0.70148,1.95727,0.93944,1.78487,0.00543837,0.00543837,0.00543837
97,6873.73,1.66377,0.80388,1.69992,0.87803,0.84817,0.90106,0.69749,1.96169,0.94149,1.78805,0.00536081,0.00536081,0.00536081
98,6943.95,1.66596,0.80419,1.69797,0.8749,0.84687,0.89944,0.69502,1.95387,0.94088,1.78491,0.00528318,0.00528318,0.00528318
99,7014.3,1.66376,0.80188,1.69799,0.87327,0.85184,0.90338,0.69942,1.94547,0.9336,1.78222,0.00520548,0.00520548,0.00520548
100,7084.79,1.66366,0.80108,1.69804,0.87547,0.84508,0.90194,0.70053,1.94167,0.9317,1.78179,0.00512775,0.00512775,0.00512775
101,7154.92,1.65556,0.79271,1.69701,0.86745,0.85108,0.90106,0.6987,1.95547,0.9402,1.78447,0.00505,0.00505,0.00505
102,7225.59,1.65256,0.7963,1.69582,0.87441,0.84786,0.90037,0.69531,1.96409,0.94092,1.78739,0.00497225,0.00497225,0.00497225
103,7296.32,1.64906,0.79052,1.69669,0.87552,0.85187,0.90171,0.69758,1.96104,0.93532,1.78563,0.00489452,0.00489452,0.00489452
104,7366.51,1.6488,0.79037,1.69389,0.87934,0.8479,0.90122,0.6978,1.96085,0.93408,1.7845,0.00481682,0.00481682,0.00481682
