实验名称,状态,耗时,完成时间
dset4_r18,FAILED,00:00:04,2025-12-02 19:43:58
dset4_r34,FAILED,00:00:03,2025-12-02 19:44:01
dset48_r18,FAILED,00:00:03,2025-12-02 19:44:04
dset48_r34,FAILED,00:00:03,2025-12-02 19:44:07
dset6_r18,FAILED,00:00:04,2025-12-02 19:44:11
dset6_r34,FAILED,00:00:03,2025-12-02 19:44:14
