epoch,train_loss,val_loss,mAP_0.5,mAP_0.75,mAP_0.5_0.95,learning_rate,router_loss,expert_0_usage,expert_1_usage
1,23.683440896529184,2.797190301120281,0.0,0.0,0.0,2.008e-05,1.0045571538466442,0.517704768825138,0.4822952311748619
2,17.499351296243788,2.4969682320952415,0.0,0.0,0.0,4.0060000000000006e-05,1.0001840885681441,0.4984016763645997,0.5015983236354002
3,14.815218164950986,2.0888600312173367,0.0,0.0,0.0,6.004000000000001e-05,1.0002147276190263,0.5002882145995438,0.49971178540045624
4,13.444557189941406,1.976075116544962,0.0,0.0,0.0,8.002000000000001e-05,1.0001750814763806,0.5001670434483745,0.4998329565516255
5,12.969851409332662,1.8991115875542164,0.0,0.0,0.0,0.00010000000000000002,1.0001333099377305,0.4994816742641535,0.5005183257358464
6,12.151107679439496,1.8537639752030373,0.0,0.0,0.0,9.999389330784221e-05,1.000107756898373,0.4996830234065985,0.5003169765934016
7,11.7541947304448,1.8265511095523834,0.0,0.0,0.0,9.997557473810373e-05,1.000127851208554,0.4994478674881972,0.5005521325118029
8,11.377610918841784,1.7024096213281155,0.0,0.0,0.0,9.994504881061754e-05,1.000075392330749,0.5003168415824065,0.4996831584175935
9,10.984404913986786,1.664796456694603,0.0,0.0,0.0,9.990232305719946e-05,1.0000591949571538,0.4996771215250538,0.5003228784749463
10,10.764677011514012,1.583815772086382,0.0,0.0,0.0,9.984740801978985e-05,1.0000783574732044,0.4990861611862903,0.5009138388137097
11,10.509450538248956,1.5516599118709564,0.0,0.0,0.0,9.978031724785247e-05,1.000060606606399,0.49983866202013283,0.5001613379798672
12,10.37051017374932,1.5064804181456566,0.0,0.0,0.0,9.970106729503142e-05,1.0000539339041408,0.5002302997735386,0.49976970022646144
13,10.185014121140107,1.4686228595674038,0.0,0.0,0.0,9.960967771506667e-05,1.0001056586639792,0.5000434556810704,0.4999565443189295
14,9.990404817122448,1.4594062566757202,0.0,0.0,0.0,9.95061710569696e-05,1.0000533778456193,0.5002455769541859,0.4997544230458141
15,9.784431614453279,1.4166766963899136,0.0,0.0,0.0,9.939057285945933e-05,1.0000493518913849,0.49953712290306285,0.5004628770969372
