实验名称,状态,耗时,完成时间
dset4_r34,SUCCESS,08:52:18,2025-12-05 04:59:37
dset6_r18,SUCCESS,07:29:36,2025-12-05 12:29:13
dset6_r34,FAILED,10:27:07,2025-12-05 22:56:20
