Model,Type,Total Params(M),Active Params(M),Theory GFLOPs,Resolution,mAP,AP50,APS,Input
rt-detr-r18,rtdetr,20.08,20.08,67.60,736x1280,0.649,0.870,0.481,736x1280
rt-detr-r34,rtdetr,31.31,31.31,103.69,736x1280,0.692,0.883,0.537,736x1280
