实验名称,状态,耗时,完成时间
rtdetr_presnet18,SUCCESS,04:07:46,2025-11-20 16:25:04
rtdetr_presnet34,SUCCESS,03:18:49,2025-11-20 19:43:53
moe2_presnet18,SUCCESS,04:35:03,2025-11-21 00:18:56
moe2_presnet34,SUCCESS,03:40:27,2025-11-21 03:59:23
moe3_presnet18,SUCCESS,03:15:12,2025-11-21 07:14:35
moe3_presnet34,SUCCESS,03:50:01,2025-11-21 11:04:36
moe6_presnet18,SUCCESS,03:22:07,2025-11-21 14:26:43
moe6_presnet34,SUCCESS,03:09:08,2025-11-21 17:35:51
dset2_r18,SUCCESS,04:12:40,2025-11-21 21:48:31
