epoch,train_loss,val_loss,mAP_0.5,mAP_0.75,mAP_0.5_0.95,learning_rate
1,21.046250926374825,0.0,0.0,0.0,0.0,3.3400000000000005e-05
2,16.416419607768127,0.0,0.0,0.0,0.0,6.670000000000001e-05
3,12.826998914022582,0.0,0.0,0.0,0.0,0.0001
4,9.733260349074811,0.0,0.0,0.0,0.0,9.99938933078422e-05
5,8.688495538810983,0.0,0.0,0.0,0.0,9.997557473810371e-05
6,8.20107627479951,0.0,0.0,0.0,0.0,9.994504881061753e-05
7,7.885005562226354,0.0,0.0,0.0,0.0,9.990232305719945e-05
8,7.683746581958934,0.0,0.0,0.0,0.0,9.984740801978984e-05
9,7.518017321401298,0.0,0.0,0.0,0.0,9.978031724785246e-05
10,7.390044777314245,1.2030379062607175,0.6763117340833487,0.5297268345850175,0.4614937224149391,9.97010672950314e-05
11,7.244781286230585,0.0,0.0,0.0,0.0,9.960967771506666e-05
12,7.1307706652094405,0.0,0.0,0.0,0.0,9.950617105696959e-05
13,7.023062276614221,0.0,0.0,0.0,0.0,9.939057285945931e-05
14,6.899018235681181,0.0,0.0,0.0,0.0,9.92629116446613e-05
15,6.807538757956989,0.0,0.0,0.0,0.0,9.912321891107009e-05
16,6.741068024205935,0.0,0.0,0.0,0.0,9.89715291257774e-05
17,6.687266114763739,0.0,0.0,0.0,0.0,9.880787971596799e-05
18,6.634006504763924,0.0,0.0,0.0,0.0,9.863231105968498e-05
19,6.580921988916623,0.0,0.0,0.0,0.0,9.844486647586723e-05
20,6.549760000400633,1.0044592171907425,0.7663394661646107,0.6374529973638713,0.5532886458262101,9.824559221366101e-05
21,6.475084492380585,0.0,0.0,0.0,0.0,9.803453744100869e-05
22,6.4534491317532074,0.0,0.0,0.0,0.0,9.781175423251735e-05
23,6.378124234800655,0.0,0.0,0.0,0.0,9.757729755661011e-05
24,6.3796052729349,0.0,0.0,0.0,0.0,9.73312252619635e-05
25,6.335052747862034,0.0,0.0,0.0,0.0,9.707359806323416e-05
26,6.289200269780453,0.0,0.0,0.0,0.0,9.680447952607844e-05
27,6.274879880426054,0.0,0.0,0.0,0.0,9.652393605146843e-05
28,6.284611118913261,0.0,0.0,0.0,0.0,9.623203685930868e-05
29,6.219081379226034,0.0,0.0,0.0,0.0,9.592885397135704e-05
30,6.204172312930862,0.9268556776500884,0.8121545442037782,0.686820109145225,0.5938566003438456,9.561446219345451e-05
31,6.181477919574032,0.0,0.0,0.0,0.0,9.528893909706794e-05
32,6.138567472521163,0.0,0.0,0.0,0.0,9.495236500015045e-05
33,6.13959584529931,0.0,0.0,0.0,0.0,9.460482294732418e-05
34,6.109435198996304,0.0,0.0,0.0,0.0,9.424639868939032e-05
35,6.063398141996555,0.0,0.0,0.0,0.0,9.387718066217123e-05
36,6.046053240084535,0.0,0.0,0.0,0.0,9.349725996469046e-05
37,6.062237432217711,0.0,0.0,0.0,0.0,9.31067303366952e-05
38,6.037763480326576,0.0,0.0,0.0,0.0,9.270568813552755e-05
39,6.037007469701541,0.0,0.0,0.0,0.0,9.229423231234973e-05
40,6.000986219017427,0.8926078968104862,0.8303778076635062,0.7131474993919855,0.6135933681135641,9.187246438772937e-05
41,5.9680242583649985,0.0,0.0,0.0,0.0,9.144048842659079e-05
42,5.951549374096767,0.0,0.0,0.0,0.0,9.099841101253865e-05
43,5.926770917612229,0.0,0.0,0.0,0.0,9.054634122155989e-05
44,5.951459064302851,0.0,0.0,0.0,0.0,9.008439059511098e-05
45,5.952336051452781,0.0,0.0,0.0,0.0,8.961267311259666e-05
46,5.928336355923476,0.0,0.0,0.0,0.0,8.913130516324732e-05
47,5.890022343368892,0.0,0.0,0.0,0.0,8.864040551740156e-05
48,5.879748782840386,0.0,0.0,0.0,0.0,8.814009529720153e-05
49,5.860395874457336,0.0,0.0,0.0,0.0,8.763049794670775e-05
50,5.888906444983459,0.8495084728513446,0.8468851239921451,0.7366954895086342,0.6378737075674287,8.711173920144117e-05
51,5.841195393512599,0.0,0.0,0.0,0.0,8.658394705735987e-05
52,5.8695404925052586,0.0,0.0,0.0,0.0,8.604725173927785e-05
53,5.87000261550831,0.0,0.0,0.0,0.0,8.55017856687341e-05
54,5.827581353662138,0.0,0.0,0.0,0.0,8.494768343131955e-05
55,5.798582562903093,0.0,0.0,0.0,0.0,8.438508174347009e-05
56,5.7768576201669415,0.0,0.0,0.0,0.0,8.381411941873378e-05
57,5.790444972955785,0.0,0.0,0.0,0.0,8.323493733352076e-05
58,5.747258925324933,0.0,0.0,0.0,0.0,8.264767839234409e-05
59,5.7558295851070165,0.0,0.0,0.0,0.0,8.205248749256013e-05
60,5.732734097123711,0.8455292014848619,0.8555199479406003,0.7413498362612969,0.6395758543708172,8.144951148861741e-05
61,5.756806416534134,0.0,0.0,0.0,0.0,8.083889915582234e-05
62,5.756906696970429,0.0,0.0,0.0,0.0,8.022080115363126e-05
63,5.72864979025312,0.0,0.0,0.0,0.0,7.959536998847742e-05
64,5.729075974197749,0.0,0.0,0.0,0.0,7.896275997614229e-05
65,5.721673278447011,0.0,0.0,0.0,0.0,7.832312720368047e-05
66,5.699320856428824,0.0,0.0,0.0,0.0,7.767662949090751e-05
67,5.6982588722807535,0.0,0.0,0.0,0.0,7.702342635146032e-05
68,5.707573135882193,0.0,0.0,0.0,0.0,7.636367895343945e-05
69,5.690815837462367,0.0,0.0,0.0,0.0,7.569755007964337e-05
70,5.677411526865304,0.8268719670318422,0.8585020529305818,0.7488085413132118,0.6475344296182152,7.502520408740417e-05
71,5.677584528358062,0.0,0.0,0.0,0.0,7.434680686803489e-05
72,5.632637591158609,0.0,0.0,0.0,0.0,7.366252580589837e-05
73,5.656741786342097,0.0,0.0,0.0,0.0,7.297252973710755e-05
74,5.650531775578504,0.0,0.0,0.0,0.0,7.227698890786778e-05
75,5.646507071092795,0.0,0.0,0.0,0.0,7.157607493247108e-05
76,5.657972799093238,0.0,0.0,0.0,0.0,7.086996075095288e-05
77,5.6196280949488635,0.0,0.0,0.0,0.0,7.015882058642162e-05
78,5.649879247656366,0.0,0.0,0.0,0.0,6.944282990207194e-05
79,5.630821693565043,0.0,0.0,0.0,0.0,6.872216535789156e-05
80,5.611226382413746,0.8241828779379526,0.8609714925879982,0.7513990998935676,0.6500404466963732,6.799700476707322e-05
81,5.621961842216022,0.0,0.0,0.0,0.0,6.726752705214193e-05
82,5.601146856190469,0.0,0.0,0.0,0.0,6.653391220080839e-05
83,5.596353614499783,0.0,0.0,0.0,0.0,6.579634122155988e-05
84,5.607223076842972,0.0,0.0,0.0,0.0,6.505499609899904e-05
85,5.597497436107617,0.0,0.0,0.0,0.0,6.431005974894185e-05
86,5.5847626432988315,0.0,0.0,0.0,0.0,6.356171597328594e-05
87,5.605644156017575,0.0,0.0,0.0,0.0,6.28101494146603e-05
88,5.5795830776341155,0.0,0.0,0.0,0.0,6.205554551086731e-05
89,5.555625874849293,0.0,0.0,0.0,0.0,6.129809044912885e-05
90,5.563977087843474,0.8226163124754315,0.8611404696932428,0.7528489879319091,0.6499333781098172,6.0537971120147364e-05
91,5.56804058789077,0.0,0.0,0.0,0.0,5.977537507199337e-05
92,5.55864079868624,0.0,0.0,0.0,0.0,5.9010490463830756e-05
93,5.574781526321483,0.0,0.0,0.0,0.0,5.8243506019491416e-05
94,5.558778050951483,0.0,0.0,0.0,0.0,5.7474610980910334e-05
95,5.537792289426541,0.0,0.0,0.0,0.0,5.6703995061433054e-05
96,5.554592064771607,0.0,0.0,0.0,0.0,5.593184839900673e-05
97,5.524088301364844,0.0,0.0,0.0,0.0,5.515836150926645e-05
98,5.515327618585379,0.0,0.0,0.0,0.0,5.4383725238528314e-05
99,5.534344322873518,0.0,0.0,0.0,0.0,5.3608130716701005e-05
100,5.542701497462123,0.819434160277957,0.8631521073536972,0.7562422539478547,0.652062089809984,5.28317693101273e-05
101,5.5110471870096935,0.0,0.0,0.0,0.0,5.205483257436734e-05
102,5.502297421767248,0.0,0.0,0.0,0.0,5.1277512206935114e-05
103,5.536461310364059,0.0,0.0,0.0,0.0,5.049999999999999e-05
104,5.524922777691159,0.0,0.0,0.0,0.0,4.9722487793064875e-05
105,5.53226511625317,0.8180947722423644,0.8645232376935033,0.7563970202101618,0.6521996355605816,4.8945167425632636e-05
106,5.511339257678714,0.0,0.0,0.0,0.0,4.816823068987268e-05
107,5.49248118875151,0.0,0.0,0.0,0.0,4.7391869283298976e-05
108,5.520439312921316,0.0,0.0,0.0,0.0,4.6616274761471674e-05
109,5.497538869414849,0.0,0.0,0.0,0.0,4.5841638490733534e-05
110,5.483751360274039,0.8164990352732795,0.8650254143307924,0.7571343178464025,0.6532446949162074,4.506815160099326e-05
111,5.506619645520974,0.0,0.0,0.0,0.0,4.429600493856694e-05
112,5.494761392403553,0.0,0.0,0.0,0.0,4.352538901908967e-05
113,5.490431821741764,0.0,0.0,0.0,0.0,4.275649398050857e-05
114,5.481074075563259,0.0,0.0,0.0,0.0,4.198950953616922e-05
115,5.4594437974324155,0.8147424700714293,0.8656814377784097,0.7576548489605694,0.6540627147754878,4.122462492800663e-05
116,5.487552733217935,0.0,0.0,0.0,0.0,4.046202887985264e-05
117,5.4613914195960165,0.0,0.0,0.0,0.0,3.970190955087116e-05
118,5.473656708595312,0.0,0.0,0.0,0.0,3.894445448913268e-05
119,5.45998990705228,0.0,0.0,0.0,0.0,3.818985058533969e-05
120,5.458034137978938,0.8134971353269759,0.8665548740264343,0.7587832090508964,0.6551114851671923,3.7438284026714043e-05
121,5.458261189302562,0.0,0.0,0.0,0.0,3.668994025105816e-05
122,5.448234474489475,0.0,0.0,0.0,0.0,3.5945003901000964e-05
123,5.453048052945973,0.0,0.0,0.0,0.0,3.5203658778440126e-05
124,5.463659584804733,0.0,0.0,0.0,0.0,3.446608779919161e-05
125,5.46432379184741,0.8126547074034101,0.8674886128807501,0.7598004859853259,0.6557258088086265,3.3732472947858084e-05
126,5.446807590141115,0.0,0.0,0.0,0.0,3.3002995232926785e-05
127,5.426544564595154,0.0,0.0,0.0,0.0,3.2277834642108455e-05
128,5.434618039153763,0.0,0.0,0.0,0.0,3.155717009792807e-05
129,5.442155202983115,0.0,0.0,0.0,0.0,3.084117941357835e-05
130,5.440022520544405,0.8113030429397311,0.8682577069845193,0.7598489632386538,0.6561179814603075,3.0130039249047115e-05
131,5.445352454886052,0.0,0.0,0.0,0.0,2.9423925067528905e-05
132,5.452397536327489,0.0,0.0,0.0,0.0,2.87230110921322e-05
133,5.426868000301704,0.0,0.0,0.0,0.0,2.8027470262892437e-05
134,5.429687355366928,0.0,0.0,0.0,0.0,2.7337474194101628e-05
135,5.425724574174926,0.810879009110587,0.8679527366948638,0.7596142999162699,0.6562541985924183,2.6653193131965085e-05
136,5.429877233731238,0.0,0.0,0.0,0.0,2.5974795912595822e-05
137,5.4184137249444895,0.0,0.0,0.0,0.0,2.530244992035662e-05
138,5.404404020987416,0.0,0.0,0.0,0.0,2.4636321046560534e-05
139,5.40309994819605,0.0,0.0,0.0,0.0,2.3976573648539653e-05
140,5.420534118091891,0.8104175322112583,0.8687497378951994,0.7603933322002976,0.6562341413443789,2.332337050909247e-05
141,5.429556320063876,0.0,0.0,0.0,0.0,2.267687279631953e-05
142,5.423043883807286,0.0,0.0,0.0,0.0,2.203724002385771e-05
143,5.413937342675376,0.0,0.0,0.0,0.0,2.1404630011522583e-05
144,5.413616878726471,0.0,0.0,0.0,0.0,2.077919884636874e-05
145,5.408712375785502,0.8103652717102141,0.8687525186099865,0.7603974340199252,0.6560975219765042,2.0161100844177653e-05
146,5.398150439510978,0.0,0.0,0.0,0.0,1.9550488511382585e-05
147,5.391629752389628,0.0,0.0,0.0,0.0,1.8947512507439848e-05
148,5.396302521511276,0.0,0.0,0.0,0.0,1.8352321607655905e-05
149,5.3921444382147765,0.0,0.0,0.0,0.0,1.776506266647923e-05
150,5.404395324923981,0.8100647635403133,0.8693574479907465,0.7596218290724841,0.6558475975648538,1.7185880581266205e-05
151,5.406655417799385,0.0,0.0,0.0,0.0,1.66149182565299e-05
152,5.399777468911845,0.0,0.0,0.0,0.0,1.6052316568680434e-05
153,5.406095572557494,0.0,0.0,0.0,0.0,1.5498214331265893e-05
154,5.392469019686441,0.0,0.0,0.0,0.0,1.4952748260722152e-05
155,5.397214948283553,0.8100901969841549,0.8697130314370162,0.7589837111476158,0.6555731437591205,1.4416052942640132e-05
156,5.3860108841087015,0.0,0.0,0.0,0.0,1.388826079855881e-05
157,5.394976683702514,0.0,0.0,0.0,0.0,1.3369502053292245e-05
158,5.3792067771839305,0.0,0.0,0.0,0.0,1.2859904702798464e-05
159,5.368366478743711,0.0,0.0,0.0,0.0,1.2359594482598432e-05
160,5.379949637498901,0.810109616745086,0.8695182480792696,0.7583243695305014,0.6548176324987485,1.1868694836752682e-05
161,5.373672783657272,0.8103949065719332,0.8701708291488558,0.7594550755547183,0.6550913606517623,1.138732688740332e-05
162,5.371688379495629,0.8106160327082589,0.8702361576040988,0.7596051440812548,0.6550310631993213,1.0915609404889012e-05
163,5.384054943283587,0.8106789290904999,0.8704520943571201,0.7599777965365023,0.6552494605083976,1.0453658778440102e-05
164,5.391906627546555,0.8109439824308667,0.8705843205729087,0.7599556349961635,0.6551068315581295,1.0001588987461343e-05
165,5.380981131187547,0.8110037914344242,0.8704549123764773,0.7600974995533314,0.6553098824598703,9.559511573409192e-06
166,5.369391520441426,0.8110769057557696,0.870159421949106,0.7598165207082466,0.6552348045165797,9.12753561227063e-06
167,5.37879259778425,0.8109826608782723,0.8705425038743932,0.7600483406380621,0.6553338137118426,8.705767687650263e-06
168,5.377849969818694,0.8110009722766423,0.8707493025684272,0.7601909323305495,0.6552076083919018,8.294311864472447e-06
169,5.380685754296904,0.8111930191516876,0.8711991591596753,0.7606676348354301,0.65551919903135,7.893269663304784e-06
170,5.370948088677573,0.8112488161949885,0.8710928679985227,0.7611557874816413,0.6554722480302455,7.50274003530953e-06
171,5.3659201323703565,0.8111892874751773,0.8712724226233729,0.7611215053894114,0.6554197441091576,7.122819337828752e-06
172,5.363536330760938,0.8111626640671775,0.8715766747249312,0.7610278993379399,0.6555783156565456,6.753601310609673e-06
173,5.3656421860247425,0.8113093773523966,0.8721188751496645,0.7612695715786484,0.6556971698239686,6.395177052675794e-06
174,5.3616062747358715,0.8113855669895808,0.8716206712286209,0.7617391855052369,0.6555099386655845,6.04763499984953e-06
175,5.360863215550427,0.8117504730111077,0.871636408117349,0.7619447869468297,0.65548404101896,5.7110609029320404e-06
