epoch,train_loss,val_loss,mAP_0.5,mAP_0.75,mAP_0.5_0.95,learning_rate,router_loss,expert_0_usage,expert_1_usage,expert_2_usage,expert_3_usage,expert_4_usage,expert_5_usage
1,22.83124257341216,2.7768611013889313,0.0,0.0,0.0,3.3400000000000005e-05,3.0845714158649686,0.10577940421298034,0.17444150089607172,0.19794756991551019,0.1708458995408991,0.13144823292661761,0.21953739250792104
2,17.5059276411805,2.3558946698904037,0.0,0.0,0.0,6.670000000000001e-05,3.116722484178181,0.09582056264731469,0.18230931037761347,0.20907059674402256,0.15515524418050208,0.12402210107653011,0.23362218497401707
3,13.67277120034906,2.118516381829977,0.0,0.0,0.0,0.0001,3.099889522866358,0.11859615381200242,0.17191730464941582,0.23925320944836026,0.14796653542957505,0.12763428715528066,0.1946325095053658
4,11.02911910527869,1.6758935637772083,0.0,0.0,0.0,9.99938933078422e-05,3.1008116806609722,0.15182088555896084,0.14956426213728205,0.23367489266953734,0.15114533813627823,0.1457840580050148,0.16801056349292676
5,9.855463317677945,1.548651471734047,0.0,0.0,0.0,9.997557473810371e-05,3.083343536038942,0.16405090523418323,0.1513839228706423,0.21777852268051476,0.1577978901516764,0.14967321826359625,0.15931554079938706
6,9.430509518973436,1.456476118415594,0.0,0.0,0.0,9.994504881061753e-05,3.065444891965842,0.1663335092206066,0.15376820752428733,0.21290702300860856,0.15655022290874995,0.1525867308655214,0.15785430647222612
7,9.100445771519142,1.3924065716564655,0.0,0.0,0.0,9.990232305719945e-05,3.052851405324815,0.16740593041597987,0.15306703177894757,0.21118032292940572,0.15485156236153205,0.15513000478545222,0.15836514772868257
8,8.656224069716055,1.2969691008329391,0.0,0.0,0.0,9.984740801978984e-05,3.041556584684155,0.16893631339029522,0.15491557651650445,0.20869661331055708,0.15402902623415918,0.15602327686428175,0.15739919368420233
9,8.298055322864387,1.205563273280859,0.0,0.0,0.0,9.978031724785246e-05,3.0349836108050767,0.17044817029188775,0.1599471399846478,0.20449746474960062,0.15151438244791027,0.15561094458781477,0.15798189793813883
10,8.027696561209764,1.1478534787893295,0.0,0.0,0.0,9.97010672950314e-05,3.026978604401214,0.1708055768384909,0.16247206614736304,0.19865731281658366,0.15491742221087132,0.15468898537152911,0.15845863661516196
11,7.822153308723546,1.1385105215013027,0.0,0.0,0.0,9.960967771506666e-05,3.0210525235043297,0.1700199011442714,0.16339663481346983,0.19544376390558268,0.157645886078647,0.15417686054210106,0.159316953515928
12,7.668604923200004,1.1026607062667608,0.0,0.0,0.0,9.950617105696959e-05,3.0162816108027592,0.16892910244929044,0.16522549373731416,0.19208511709986456,0.15848004211933192,0.15571328931891643,0.15956695527528247
13,7.519367616387862,1.0782369188964367,0.0,0.0,0.0,9.939057285945931e-05,3.010046844240985,0.1677857702339213,0.16609189833964885,0.18915618544059834,0.15906354109105544,0.15669659223958063,0.16120601265519544
14,7.42496398732632,1.0577139426022768,0.0,0.0,0.0,9.92629116446613e-05,3.0056638868549204,0.16711695223177772,0.16732666577283475,0.1863735323599078,0.16158468241655263,0.15629333932058842,0.16130482789833867
15,7.321396688871745,1.042755737900734,0.0,0.0,0.0,9.912321891107009e-05,3.003899006903926,0.16585553096653335,0.16701169470952262,0.18518083235972177,0.16182108359414754,0.15846079116955622,0.1616700672005185
16,7.233596385279788,1.0282100234180689,0.0,0.0,0.0,9.89715291257774e-05,3.001295388499393,0.16633936443664035,0.16733202128139713,0.18329751133030767,0.16214547144847763,0.15721426000022035,0.1636713715029569
17,7.150967954080316,1.0270091462880373,0.0,0.0,0.0,9.880787971596799e-05,3.0008204073845586,0.16641298914424096,0.1670336439814117,0.1822798590379565,0.16143349890067135,0.1583124993542268,0.16452750958149265
18,7.108178247379351,1.03003353998065,0.0,0.0,0.0,9.863231105968498e-05,2.9972192426271076,0.16518371560201564,0.16783684439770108,0.18112134507583402,0.16286566947480993,0.15853615351655317,0.16445627193308615
19,7.120848203007179,1.0263073686510324,0.0,0.0,0.0,9.844486647586723e-05,2.995243766639806,0.16541204627044276,0.1668188627398839,0.18321420023932988,0.16117768027301335,0.1562192970792891,0.16715791339804104
20,7.015162908578221,1.0187773946672678,0.0,0.0,0.0,9.824559221366101e-05,2.996410191813602,0.16626811961570137,0.16588647145776966,0.18189683848393803,0.16314609359852145,0.1572875142084114,0.1655149626356581
21,6.949769358091716,1.0041165836155415,0.0,0.0,0.0,9.803453744100869e-05,2.992974740040453,0.1659261882931734,0.16655276737172547,0.1792224462980336,0.16506498553080085,0.1577842944129249,0.16544931809334176
22,6.894313667393938,0.995263647288084,0.0,0.0,0.0,9.781175423251735e-05,2.992333321631709,0.16590002194211464,0.16717808808677875,0.17796650123233865,0.1642936216505929,0.15867693656885587,0.16598483051931917
23,6.855748997458929,0.9856241699308157,0.0,0.0,0.0,9.757729755661011e-05,2.9933037275000465,0.16676934331863774,0.16687923942270053,0.17808498774653983,0.16465591556556652,0.15815475439245727,0.1654557595540981
