实验名称,状态,耗时,完成时间
yolov8l_dairv2x,SUCCESS,01:11:54,2025-11-27 17:09:34
yolov8m_dairv2x,SUCCESS,01:01:21,2025-11-27 18:10:55
yolov8s_dairv2x,SUCCESS,00:29:15,2025-11-27 18:40:10
