epoch,train_loss,val_loss,mAP_0.5,mAP_0.75,mAP_0.5_0.95,learning_rate,router_loss,expert_0_usage,expert_1_usage,expert_2_usage
1,36.25848403158067,3.5341765210032463,0.0,0.0,0.0,3.3400000000000005e-05,2.02559689630436,0.3597290253554903,0.3105502445939008,0.3297207300506089
2,22.97906223731705,2.398667022585869,0.0,0.0,0.0,6.670000000000001e-05,2.0643590522717825,0.32112167131747266,0.291631206268839,0.3872471224136884
3,17.89364520205727,1.9692060835659504,0.0,0.0,0.0,0.0001,2.078903171080577,0.31373050103058575,0.300427110786372,0.38584238818304223
4,15.46288475809218,1.7475733384490013,0.0,0.0,0.0,9.99938933078422e-05,2.0297534858124164,0.3252717634696156,0.3164407002632665,0.3582875362671179
5,14.424871130834651,1.6888270936906338,0.0,0.0,0.0,9.997557473810371e-05,2.0178407536277287,0.31814185462857875,0.33167521220646773,0.3501829331649536
6,13.85613757749147,1.6176460534334183,0.0,0.0,0.0,9.994504881061753e-05,2.0152863218814514,0.3222644892031782,0.3339285829030776,0.34380692789374423
7,13.595712456522108,1.5506289452314377,0.0,0.0,0.0,9.990232305719945e-05,2.0124957531313354,0.32403971681461124,0.3353881191089491,0.34057216407643964
8,13.168437124807623,1.579464290291071,0.0,0.0,0.0,9.984740801978984e-05,2.012100385714181,0.3237359371259874,0.3388056530758797,0.3374584097981329
9,12.893371738964998,1.532659001648426,0.0,0.0,0.0,9.978031724785246e-05,2.010964960991582,0.326810558368468,0.3358326675394182,0.3373567740921138
10,12.575762664215475,1.4219280779361725,0.0,0.0,0.0,9.97010672950314e-05,2.01009590414506,0.3290737746562583,0.33655882432825374,0.33436740101548795
11,12.491428906404519,1.3875470757484436,0.0,0.0,0.0,9.960967771506666e-05,2.0079841975924335,0.3270830340898209,0.338204818219541,0.33471214769063806
12,12.455976449990574,1.4475244022905827,0.0,0.0,0.0,9.950617105696959e-05,2.0044320338889015,0.32684651603009535,0.3350706258685964,0.3380828581013083
13,12.167010246952877,1.3509838730096817,0.0,0.0,0.0,9.939057285945931e-05,2.00618039656289,0.3279405183538973,0.3368166523631263,0.33524282928297633
14,12.02710183059113,1.3607364632189274,0.0,0.0,0.0,9.92629116446613e-05,2.007679583151129,0.32626016195237256,0.3411869519732954,0.332552886074332
15,12.00698433646673,1.3120083138346672,0.0,0.0,0.0,9.912321891107009e-05,2.007489904572692,0.3227288666653901,0.34302911927284796,0.33424201406176196
16,11.784790932377682,1.3091388531029224,0.0,0.0,0.0,9.89715291257774e-05,2.009360497510886,0.3235323792624101,0.3449746521527453,0.3314929685848446
17,11.694459178779699,1.2946158275008202,0.0,0.0,0.0,9.880787971596799e-05,2.0094681963135925,0.3194263432859703,0.3470754128264209,0.3334982438876088
18,11.652356183981594,1.2631094455718994,0.0,0.0,0.0,9.863231105968498e-05,2.01038476787036,0.3239108282088855,0.34666679597765504,0.32942237581345946
19,11.491293243215054,1.2612144388258457,0.0,0.0,0.0,9.844486647586723e-05,2.009366473065147,0.3220957451737205,0.3452363455111287,0.3326679093151508
20,11.248828139486193,1.2335390709340572,0.0,0.0,0.0,9.824559221366101e-05,2.0093613606465013,0.320169506492095,0.3467863769890232,0.3330441165188817
21,11.107550850397423,1.2354550026357174,0.0,0.0,0.0,9.803453744100869e-05,2.0101014119160325,0.3212051427869538,0.3465997371099321,0.33219512010311414
22,11.114765106877194,1.2347836010158062,0.0,0.0,0.0,9.781175423251735e-05,2.0106419219246394,0.3180844812572699,0.34799948749092263,0.3339160312518074
23,11.218438039852094,1.3006268180906773,0.0,0.0,0.0,9.757729755661011e-05,2.0114085523388052,0.31472473032361165,0.35137654814222935,0.333898721534159
24,11.059205646756329,1.186859842389822,0.0,0.0,0.0,9.73312252619635e-05,2.0087729918805857,0.31703138099077827,0.34835787560555737,0.33461074340366437
25,10.848011487646948,1.2144154831767082,0.0,0.0,0.0,9.707359806323416e-05,2.0094384573682955,0.31729048494048095,0.34868888311895824,0.33402063194056086
26,11.049142125286634,1.2081893347203732,0.0,0.0,0.0,9.680447952607844e-05,2.009361424023592,0.32025677175630635,0.34691076603693916,0.3328324622067545
27,10.804008278665663,1.2024547047913074,0.0,0.0,0.0,9.652393605146843e-05,2.0080838837201083,0.3237682676898914,0.345327772953923,0.33090395935618566
28,10.627621312684651,1.1515897922217846,0.0,0.0,0.0,9.623203685930868e-05,2.006419664696802,0.32064573744150465,0.3449725207894552,0.3343817417690402
