实验名称,状态,耗时,完成时间
dset4_r18,FAILED,00:00:03,2025-12-02 19:44:38
dset4_r34,FAILED,00:00:03,2025-12-02 19:44:41
dset48_r18,FAILED,00:00:03,2025-12-02 19:44:44
dset48_r34,FAILED,00:00:03,2025-12-02 19:44:48
dset6_r18,FAILED,00:00:03,2025-12-02 19:44:51
dset6_r34,FAILED,00:00:03,2025-12-02 19:44:54
