实验名称,状态,耗时,完成时间
yolov8l_dairv2x,FAILED,00:00:24,2025-12-01 10:53:50
yolov8s_dairv2x,FAILED,00:00:08,2025-12-01 10:53:58
yolov10l_dairv2x,FAILED,00:00:08,2025-12-01 10:54:06
yolov10s_dairv2x,FAILED,00:00:07,2025-12-01 10:54:13
